Date,Open,High,Low,Close,Adj Close,Volume
2015-09-18,116.510002,117.199997,114.980003,115.120003,102.577644,11366700
2015-09-21,115.959999,117.110001,115.269997,116.580002,103.878571,5201100
2015-09-22,115.400002,116.389999,114.889999,115.800003,103.183548,4631600
2015-09-23,115.849998,116.550003,115.660004,116.169998,103.513237,4084900
2015-09-24,115.339996,116.650002,114.839996,116.339996,103.664719,5172300
2015-09-25,117.230003,118.169998,116.040001,116.739998,104.021133,5478900
2015-09-28,116.529999,117.379997,113.849998,114.099998,101.668777,5994600
2015-09-29,114.209999,114.930000,111.800003,112.910004,100.608421,7908800
2015-09-30,114.370003,115.629997,114.000000,115.489998,102.907310,5395600
2015-10-01,116.230003,117.129997,114.739998,117.029999,104.279533,5215200
2015-10-02,115.559998,117.900002,114.709999,117.809998,104.974548,4359800
2015-10-05,118.750000,119.290001,117.910004,119.199997,106.213112,4528700
2015-10-06,119.099998,119.199997,117.970001,118.680000,105.749779,5275400
2015-10-07,119.199997,119.839996,118.489998,119.650002,106.614090,4680100
2015-10-08,119.309998,121.230003,119.150002,121.059998,107.870483,4958200
2015-10-09,121.269997,121.500000,120.470001,121.330002,108.111061,3893500
2015-10-12,121.489998,122.449997,121.000000,121.900002,108.618965,2861900
2015-10-13,121.769997,122.290001,121.139999,121.610001,108.360558,2971400
2015-10-14,121.330002,121.879997,119.559998,120.269997,107.166527,5200400
2015-10-15,120.620003,122.029999,120.400002,121.809998,108.538757,3448900
2015-10-16,121.629997,122.820000,121.629997,122.739998,109.367432,4068800
2015-10-19,122.610001,123.199997,122.199997,123.099998,109.688202,3097700
2015-10-20,122.889999,123.169998,122.349998,122.849998,109.465454,3318400
2015-10-21,123.290001,124.019997,122.750000,123.300003,109.866425,3491800
2015-10-22,123.900002,124.480003,122.879997,124.360001,110.810944,5855300
2015-10-23,125.010002,125.750000,122.970001,124.610001,111.033714,5281600
2015-10-26,124.550003,125.660004,124.019997,125.010002,111.390114,4550200
2015-10-27,124.510002,125.089996,123.820000,124.470001,110.908951,3674800
2015-10-28,124.379997,124.589996,122.220001,123.820000,110.329773,6821500
2015-10-29,123.419998,124.070000,122.750000,123.629997,110.160477,4635300
2015-10-30,123.269997,124.750000,123.269997,123.639999,110.169380,4991500
2015-11-02,124.239998,124.639999,123.379997,124.410004,110.855484,3715600
2015-11-03,124.230003,126.040001,123.809998,125.660004,111.969292,4313700
2015-11-04,125.480003,125.870003,124.620003,125.379997,111.719810,4101200
2015-11-05,125.459999,126.010002,124.949997,125.720001,112.022774,3059400
2015-11-06,125.269997,126.110001,124.820000,125.980003,112.254448,3752000
2015-11-09,125.800003,126.120003,123.709999,124.500000,110.935692,4988800
2015-11-10,124.489998,125.410004,124.040001,125.260002,111.612900,3872900
2015-11-11,125.430000,125.430000,124.519997,124.709999,111.122795,3240200
2015-11-12,124.180000,124.970001,123.059998,123.809998,110.320854,4285700
2015-11-13,123.099998,123.250000,119.900002,120.000000,106.925957,8728800
2015-11-16,120.050003,121.029999,118.610001,120.839996,107.674431,7785700
2015-11-17,124.860001,126.339996,123.099998,126.180000,112.432640,10517100
2015-11-18,126.440002,126.730003,124.660004,126.540001,112.753426,6502000
2015-11-19,126.529999,127.620003,125.949997,126.860001,113.038536,4662200
2015-11-20,127.360001,130.210007,127.089996,130.210007,116.023590,8191900
2015-11-23,130.210007,132.639999,130.210007,132.500000,118.064087,6329700
2015-11-24,131.929993,133.929993,131.740005,133.600006,119.044228,6672700
2015-11-25,133.690002,135.240005,133.550003,134.649994,119.979836,5300900
2015-11-27,134.809998,135.470001,134.529999,134.740005,120.060043,3337700
2015-11-30,135.199997,135.320007,133.009995,133.880005,119.293716,8057900
2015-12-01,133.520004,134.630005,133.259995,134.429993,120.314018,5267600
2015-12-02,134.559998,134.649994,133.570007,133.809998,119.759125,5022700
2015-12-03,133.520004,134.119995,130.800003,130.929993,117.181534,6688000
2015-12-04,131.550003,134.830002,131.350006,134.529999,120.403519,5387100
2015-12-07,134.000000,134.789993,133.190002,133.929993,119.866508,5444300
2015-12-08,132.710007,134.559998,132.410004,133.839996,119.785973,4731400
